,,Team,,,College Passing,,,,,,,,,,,,College Rushing,,,,,,Physical,
Draft Year,Player Name,College Team,"AP Team Ranking (1= Top 25, 0= Not)","Team Conference (1=Power 5, 0=Not)",Games Played,Passing Attempts,Passer Effeciency,Yards/Attempt,Attempts/Game,Interceptions,Interception %,Completion %,Touchdowns,Touchdowns/Game,Touchdown %,Touchdown/Interception Ratio,Yards,Attempts,Attempts/Game,Yards/Attempt,Touchdowns,Touchdowns/Game,Height,BMI
2021,Trevor Lawrence,Clemson,1,1,40,1138,164.3,8.9,,17,,66.6,90,,,,943,231,,,18,,78,24.6
2021,Zach Wilson,Brigham Young,0,1,30,837,162.9,9.1,,15,,67.6,56,,,,642,212,,,15,,75,26.7
2021,Trey Lance,North Dakota State,0,0,19,318,173.8,9.3,,1,,65.4,30,,,,1325,192,,,18,,76,27.5
2021,Justin Fields,Ohio State,1,1,34,618,178.8,9.2,,9,,68.4,67,,,,1133,260,,,19,,75,28.4
2021,Mac Jones,Alabama,1,1,30,556,197.6,11,,7,,74.3,56,,,,42,54,,,2,,75,27.1
2021,Kyle Trask,Florida,1,1,27,813,168.5,9.1,,15,,67.9,69,,,,54,132,,,8,,77,28
2021,Kellen Mond,Texas A&M,1,1,46,1358,132,7.1,,27,,59,71,,,,1609,438,,,22,,75,26.4
2021,Davis Mills,Stanford,1,1,14,438,141.9,7.9,,8,,65.5,18,,,,86,63,,,3,,76,26.4
2021,Ian Book,Notre Dame,1,1,45,1141,147,7.8,,20,,63.8,72,,,,1517,361,,,17,,72,28.6
2021,Sam Ehlinger,Texas,1,1,46,1476,145,7.7,,27,,62.5,94,,,,1903,554,,,33,,75,28.1
