,,Team,,,College Passing,,,,,,,,,,,,College Rushing,,,,,,Physical,,NFL Performance,,
Draft Year,Player Name,College Team,"AP Team Ranking (1= Top 25, 0= Not)","Team Conference (1=Power 5, 0=Not)",Games Played,Passing Attempts,Passer Effeciency,Yards/Attempt,Attempts/Game,Interceptions,Interception %,Completion %,Touchdowns,Touchdowns/Game,Touchdown %,Touchdown/Interception Ratio,Yards,Attempts,Attempts/Game,Yards/Attempt,Touchdowns,Touchdowns/Game,Height,BMI,Approximate Value/Season,Career QBR Average,
2006,Vince Young,Texas,1,1,37,718,144.9,8.4,19.405,28,3.9,61.8,44,1.189,6.1,1.571,3127,457,12.351,6.8,37,1,77,27.5,Best,52.875,6
2006,Matt Leinart,USC,1,1,39,1245,159.5,8.6,31.923,23,1.8,64.8,99,2.538,8,4.304,-70,132,3.385,-0.5,9,0.231,77,26.7,Average,44.485,2
2006,Jay Cutler,Vanderbilt,0,1,45,1242,125.9,7,27.6,36,2.9,57.2,59,1.311,4.8,1.639,1256,453,10.067,2.8,17,0.378,75,28.9,Best,53.282,9.083
2006,Kellen Clemens,Oregon,1,1,37,1005,139.4,7.5,27.162,24,2.4,61,61,1.649,6.1,2.542,273,535,14.459,0.5,6,0.162,74,28.2,Minimal,16.83,0.833
2006,Tarvaris Jackson,Alabama State,0,0,41,1033,141,6.7,27.012,26,2.5,54,54,1.515,5.2,2.077,938,275,5.379,3.4,11,0.229,74,28.9,Average,53.078,2.556
2006,Charlie Whitehurst,Clemson,1,1,44,1368,124.2,7.1,31.091,46,3.4,59.7,49,1.114,3.6,1.065,98,266,6.045,0.4,10,0.227,76,27.5,Average,26.831,0.875
2006,Brodie Croyle,Alabama State,1,1,39,869,128.4,7.3,22.282,22,2.5,56.2,41,1.051,4.7,1.864,-177,183,4.692,-1,4,0.103,74,26.4,Minimal,38.211,0.4
2006,Ingle Martin,Furman,0,0,41,1103,144.5,7.6,27.012,27,2.6,61.4,45,1.515,5.7,2.2,586,226,5.379,1.6,8,0.229,74,28.2,None,0,0
2006,Omar Jacobs,Bowling Green State,1,0,25,811,162.5,8.6,32.44,11,1.4,64.5,71,2.84,8.8,6.455,451,153,6.12,2.9,7,0.28,76,27.3,None,0,0
2006,Reggie McNeal,Texas A&M,1,1,42,875,133.1,8,20.833,23,2.6,54.6,44,1.048,5,1.913,1889,411,9.786,4.6,15,0.357,74,26.3,None,0,0
2006,Bruce Gradkowski,Toledo,0,0,49,1123,157.4,8.2,22.918,27,2.4,68.2,85,1.735,7.6,3.148,1018,248,5.061,4.1,14,0.286,73,28.6,Average,35.816,1
2006,D.J. Shockley,Georgia,1,1,38,443,142.8,8,11.658,9,2,54.2,34,0.895,7.7,3.778,643,154,4.053,4.2,7,0.184,72,29.6,None,0,0
2007,JaMarcus Russel,LSU,1,1,36,797,147.9,8.3,22.139,21,2.6,61.9,52,1.444,6.5,2.476,79,139,3.861,0.6,4,0.111,78,30.6,Average,24.697,2
2007,Brady Quinn,Notre Dame,1,0,49,1602,134.4,7.3,32.694,39,2.4,58,95,1.939,5.9,2.436,182,254,5.184,0.7,6,0.122,74,28.2,Minimal,35.729,0.5
2007,Kevin Kolb,Houston,0,0,50,1565,145.1,8.3,31.3,31,2,61.6,85,1.7,5.4,2.742,751,472,9.44,1.6,21,0.42,75,27.2,Average,35.635,2.167
2007,John Beck,BYU,1,0,43,1418,141.3,7.8,32.977,34,2.4,62.4,79,1.837,5.6,2.324,38,267,6.209,0.1,9,0.209,74,27.6,Average,24.322,2
2007,Drew Stanton,Michigan State,1,1,45,846,138.7,7.7,18.8,28,3.3,64.2,42,0.933,5,1.5,6524,846,18.8,7.7,42,0.933,75,28.2,Average,35.184,1.25
2007,Trent Edwards,Stanford,0,1,35,865,115.1,6.3,24.714,33,3.8,56.3,36,1.029,4.2,1.091,199,226,6.457,0.9,2,0.057,76,28.1,Best,39.312,3.6
2007,Isaiah Stanback,Washington,1,1,36,523,122.9,7.4,14.528,12,2.3,51.4,22,0.611,4.2,1.833,794,234,6.5,3.4,11,0.306,75,27,None,0,0
2007,Jeff Rowe,Nevada,0,0,45,1122,129.9,7,24.933,33,2.9,60.8,55,1.222,4.9,1.667,561,317,7.044,1.8,13,0.289,77,26.8,None,0,0
2007,Troy Smith,Ohio State,1,1,32,670,157.1,8.5,20.938,13,1.9,62.7,54,1.688,8.1,4.154,1168,293,9.156,4,14,0.438,72,30.5,Average,52.64,1.5
2007,Jordan Palmer,UTEP,1,0,46,1427,136.3,7.8,31.022,64,4.5,59.6,88,1.913,6.2,1.375,-43,216,4.696,-0.2,7,0.152,77,27.5,None,7.84,0
2007,Tyler Thigpen,Coastal Carolina,0,0,41,879,141,7.5,21.439,25,2.8,55,53,1.293,6,2.12,1638,345,8.415,4.7,13,0.317,75,29.4,Average,36.867,1.429
2008,Matt Ryan,Boston College,1,1,43,1347,126.2,6.9,31.326,37,2.7,59.9,56,1.302,4.2,1.514,168,58,1.349,2.9,11,0.256,76,26.4,Best,68.369,14.769
2008,Joe Flacco,Delaware,0,0,41,1103,141,7.6,27.012,27,2.6,61.8,59.5,1.515,5.7,2.2,333,226,5.379,1.6,8.5,0.229,78,28.3,Best,54.617,9.23
2008,Brian Brohm,Louisville,1,0,44,1185,157.9,9.1,26.932,24,2,65.8,71,1.614,6,2.958,44,172,3.909,0.3,9,0.205,75,28.4,None,16,0
2008,Chad Henne,Michigan,1,1,47,1387,133.9,7,29.511,37,2.7,59.7,87,1.851,6.3,2.351,-315,180,3.83,-1.8,3,0.064,75,27.7,Average,42.813,2.727
2008,Kevin O'Connell,San Diego State,0,0,39,1151,121.1,6.7,29.513,34,3,57.7,46,1.179,4,1.353,1312,395,10.128,3.3,19,0.487,77,26.7,None,4.5,0
2008,John David Booty,USC,1,1,38,832,140.9,7.4,21.895,21,2.5,62.3,55,1.447,6.6,2.619,-180,61,1.605,-3,2,0.053,74,28,None,0,0
2008,Dennis Dixon,Oregon,1,1,40,695,137.9,7.4,17.375,21,3,63.9,38,0.95,5.5,1.81,1208,258,6.45,4.7,12,0.3,75,24.4,Minimal,23.15,0.4
2008,Josh Johnson,San Diego,0,0,41,1103,141,7.6,27.012,27,2.6,61.8,59.5,1.515,5.7,2.2,333,226,5.379,1.6,8.5,0.229,75,27.4,Minimal,49.894,0.857
2008,Erik Ainge,Tennessee,1,1,43,1210,134.8,7.2,28.14,35,2.9,60.6,72,1.674,6,2.057,-227,82,1.907,-2.8,1,0.023,77,26.7,None,0,0
2008,Colt Brennan,Hawaii,1,0,38,1584,167.6,9,41.684,42,2.7,70.4,131,3.447,8.3,3.119,547,267,7.026,2,15,0.395,74,26.6,None,0,0
2008,Andre' Woodson,Kentucky,1,1,44,1278,139.9,7.3,29.045,25,2,61.9,79,1.795,6.2,3.16,-490,232,5.273,-2.1,5,0.114,76,27.9,None,0,0
2008,Matt Flynn,LSU,1,1,41,437,133,7.1,10.659,13,3,56.1,31,0.756,7.1,2.385,340,128,3.122,2.7,5,0.122,74,29.3,Average,26.868,1.143
2008,Alex Brink,Washington State,1,1,46,1451,133,7.5,31.543,43,3,58.4,76,1.652,5.2,1.767,98,246,5.348,0.4,5,0.109,74,27.1,None,0,0
2009,Matthew Stafford,Georgia,1,1,39,987,133.3,7.8,25.308,33,3.3,57.1,51,1.308,5.2,1.545,213,141,3.615,1.5,6,0.154,75,27.5,Best,58.068,10.833
2009,Mark Sanchez,USC,1,1,27,487,153.9,8.1,18.037,16,3.3,64.3,41,1.519,8.4,2.563,33,70,2.593,0.5,4,0.148,74,29.8,Best,44.735,4.75
2009,Josh Freeman,Kansas State,1,1,35,1151,124.7,7,32.886,34,3,59.1,44,1.257,3.8,1.294,343,214,6.114,1.6,20,0.571,78,27.7,Best,51.995,6.833
2009,Pat White,West Virginia,1,0,49,783,147.4,7.7,15.98,23,2.9,64.8,56,1.143,7.2,2.435,4480,684,13.959,6.5,47,0.959,72,25.8,Average,0,1
2009,Stephen McGee,Texas A&M,1,1,40,815,124.1,6.7,20.375,13,1.6,59.5,28,0.7,3.4,2.154,1750,387,9.675,4.5,11,0.275,74,28.6,Average,58.9,1
2009,Rhett Bomar,Sam Houston,0,0,31,1035,113.5,7.3,33.387,29,2.8,56.4,47,1.516,4.5,1.621,777,257,8.29,3,16,0.516,74,28.9,None,0,0
