CJ Spiller,4,606,3547,5.9,32,,37
Ryan Mathews,3,534,3280,6.1,39,,48
Jahvid Best,3,364,2668,7.3,29,,13
Dexter McCluster,2,304,1955,6.4,15,,23
Toby Gerhart,3,671,3522,5.2,44,,17
Ben Tate,4,678,3221,4.9,24,,15
Montario Hardesty,4,560,2391,4.3,23,,4
Joe McKnight,3,347,2213,6.4,13,,7
John Conner,4,54,247,4.6,4,,0
Anthony Dixon,4,910,3944,4.4,42,,8
Jonathan Dwyer,3,517,3226,6.2,35,,8
James Stark,3,698,3140,4.5,34,,8
Trindon Holliday,4,115,775,6.7,4,,4
Charles Scott,4,424,2317,5.5,32,,0
Mark Ingram,3,572,3261,5.7,42,,70
Ryan Williams,2,403,2162,5.3,30,,1
Shane Vereen,3,556,2834,5.1,29,,27
Mikel Leshoure,3,424,2557,6,23,,5
Daniel Thomas,2,545,2850,5.2,52,,12
Demarco Murray,4,759,3685,4.9,50,,70
Stevan Ridley,2,306,1419,4.6,19,,27
Alex Green,2,232,1652,7.1,20,,5
Roy Helu,4,578,3404,5.9,28,,14
Kendall Hunter,4,708,4181,5.9,37,,12
Delone Carter,3,646,3104,4.8,24,,3
Bilal Powell,4,436,2338,5.4,19,,30
Jamie Harper,3,311,1311,4.2,12,,0
Johnny White,3,246,1262,5.1,8,,0
Jacquizz Rodgers,3,788,3877,4.9,46,,27
Dion Lewis,2,544,2860,5.3,30,,31
Evan Royster,4,686,3932,5.7,29,,4
Jordan Todman,3,616,3179,5.2,31,,5
Allen Bradford,4,267,1585,5.9,16,,1
Da'Rel Scott,3,430,2401,5.6,17,,1
Anthony Allen,4,546,3036,5.6,33,,1
Baron Batch,3,467,2501,5.4,27,,1
Stanley Havili,4,116,1290,11.1,12,,1
Trent Richardson,3,540,3130,5.8,35,,18
Doug Martin,4,617,3431,5.6,43,,43
David Wilson,3,462,2662,5.8,18,,5
Isaiah Pead,4,545,3288,6,27,,1
LaMichael James,3,771,5082,6.6,53,,2
Ronnie Hillman,2,573,3243,5.7,36,,18
Bernard Pierce,3,663,3570,5.4,53,,10
Lamar Miller,2,335,1918,5.7,15,,47
Robert Turbin,3,565,3315,5.9,40,,17
Chris Rainey,4,396,2464,6.2,13,,1
Vick Ballard,2,379,2157,5.7,29,,5
Alfred Morris,3,733,3529,4.8,27,,39
Cyrus Gray,4,632,3298,5.2,30,,1
Dan Herron,4,592,2869,4.8,32,,5
Terrance Ganaway,4,473,2592,5.5,34,,0
Bryce Brown,1,104,476,4.6,3,,10
Edwin Baker,3,462,2293,5,19,,1
Giovani Bernard,2,423,2481,5.9,25,,42
Le'Veon Bell,3,671,3346,5,33,,65
Montee Ball,4,924,5140,5.6,77,,8
Eddie Lacy,3,355,2402,6.8,30,,38
Christine Michael,4,529,2791,5.3,34,,9
Knile Davis,4,349,1862,5.3,19,,10
Johnathan Franklin,4,788,4403,5.6,31,,1
Marcus Lattimore,3,555,2677,4.8,38,,0
Stepfan Taylor,4,843,4300,5.1,97,,3
Joseph Randle,3,564,3085,5.5,40,,7
Chris Thompson,4,277,1735,6.3,14,,21
Zac Stacy,4,581,3143,5.4,30,,11
Mike Gillislee,4,389,2072,5.3,20,,10
Latavius Murray,4,453,2424,5.4,37,,38
Kenjon Barner,4,582,3623,6.2,41,,4
Andre Ellington,4,621,3436,5.5,33,,19
Mike James,4,304,1340,4.4,17,,2
Rex Burkhead,4,635,3329,5.2,30,,16
Spencer Ware,3,295,1249,4.2,10,,18
Theo Riddick,4,244,1169,4.8,5,,26
Jawan Jamison,2,486,1972,4.1,13,,0
Kerwynn Williams,3,382,2515,6.6,22,,6
Michael Cox,1,198,710,3.6,5,,0
Bishop Sankey,3,644,3496,5.45,37,,6
Jeremy Hill,2,345,2156,6.2,28,,22
Carlos Hyde,4,523,3198,6.1,37,,31
Charles Sims,4,592,3465,5.9,40,,14
Tre Mason,3,516,2979,5.8,32,,7
Devonta Freeman,3,404,2255,5.6,30,,47
Andre Williams,4,704,3739,5.3,28,,7
Ka'Deem Carey,3,743,4239,5.7,45,,3
De'Anthony Thomas,3,243,1890,7.8,26,,6
James White,4,643,4015,6.2,45,,36
Alfred Blue,4,209,1253,6,11,,19
Lache Seastrunk,2,289,2189,7.6,18,,0
Marion Grice,2,294,1675,5.7,25,,0
Tyler Gaffney,4,486,2500,5.1,33,,0
Storm Johnson,2,326,1646,5,18,,0
Todd Gurley,3,510,3285,6.4,36,,53
Melvin Gordon,3,631,4915,7.8,45,,42
T.J. Yeldon,3,576,3322,5.8,37,,21
Ameer Abdullah,4,813,4588,5.6,39,,13
Tevin Coleman,3,452,3219,7.1,28,,33
Duke Johnson Jr.,3,526,3519,6.7,26,,27
David Johnson,4,866,4687,5.412240185,49,,36
Matt Jones,3,297,1431,4.8,11,,10
Jeremy Langford,2,577,2967,5.1,40,,8
Jalston Fowler,4,113,738,6.5,5,,0
Javorius Allen,2,417,2306,5.5,25,,14
Mike Davis,3,454,2440,5.4,22,,10
David Cobb,2,563,2896,5.1,20,,1
Jay Ajayi,3,678,3796,5.6,50,,20
Karlos Williams,2,241,1419,5.9,22,,4
Cameron Artis-Payne,2,394,2218,5.6,19,,5
Josh Robinson,3,323,1997,6.2,15,,0
Marcus Murphy,4,337,1957,5.8,16,,2
Kenny Hilliard,4,302,1557,5.2,27,,0
